Open,Close,High,Low,Volume,Date
1243.23,1264.64,1269.33,1243.23,,11/03/20
1215.97,1243.23,1246.08,1215.9,,11/02/20
1205.94,1216.03,1221.08,1201.28,,10/30/20
1213.93,1205.85,1216.71,1205.28,,10/29/20
1236.02,1213.89,1236.02,1209.89,,10/28/20
1242.91,1236.02,1245.13,1232.86,,10/27/20
1260.38,1242.92,1262.46,1241.14,,10/26/20
1269.57,1260.41,1269.57,1259.9,,10/23/20
1267.26,1269.57,1269.82,1259.1,,10/22/20
1262.96,1267.3,1273.22,1259.56,,10/21/20
1254.83,1262.96,1267.15,1251.35,,10/20/20
1249.46,1254.86,1255.11,1245.44,,10/19/20
1240.88,1249.46,1251.21,1240.88,,10/16/20
1257.9,1240.87,1257.9,1237.85,,10/15/20
1251.27,1257.89,1261.68,1246.42,,10/14/20
1260.14,1251.3,1260.81,1249.03,,10/13/20
1272.08,1260.11,1276.4,1255.82,,10/12/20
1269.06,1272.06,1273.61,1259.94,,10/09/20
1265.63,1269.01,1274.19,1262.79,,10/08/20
1266.44,1265.62,1273.7,1260.23,,10/07/20
1259.58,1266.39,1269.75,1257.63,,10/06/20
1263.75,1259.63,1269.65,1259.12,,10/05/20
1271.55,1263.73,1271.63,1261.63,,10/02/20
1235.8,1271.49,1273.3,1235.8,,10/01/20
1231.77,1235.8,1240.07,1225.38,,09/30/20
1254.19,1231.76,1257.89,1230.6,,09/29/20
1237.79,1254.18,1263.07,1237.79,,09/28/20
1240.75,1237.77,1252.38,1235.88,,09/25/20
1246.3,1240.76,1247.57,1235.64,,09/24/20
1238.03,1246.28,1254.29,1235.88,,09/23/20
1237.82,1238.06,1245.91,1231.2,,09/22/20
1276.85,1237.81,1276.85,1227.59,,09/21/20
1283.72,1276.9,1284.85,1272.58,,09/18/20
1297.64,1283.73,1297.64,1279.54,,09/17/20
1302.44,1297.61,1305.96,1287.98,,09/16/20
1319.01,1302.44,1320.06,1302.11,,09/15/20
1314.21,1318.98,1320.35,1307.09,,09/14/20
1314.46,1314.31,1319.55,1303.86,,09/11/20
1327.48,1314.49,1331.3,1310.02,,09/10/20
1318.63,1327.42,1335.44,1316.12,,09/09/20
1309.81,1318.55,1318.66,1308.28,,09/08/20
1298.29,1309.81,1310.2,1298.29,,09/07/20
1313.1,1298.24,1313.1,1296.63,,09/04/20
1306.48,1313.07,1321.99,1305.42,,09/03/20
1307.02,1306.43,1312.76,1300.49,,09/02/20
1316.31,1307,1323.37,1307,,09/01/20
1308.54,1316.34,1321.64,1307.68,,08/31/20
1324.36,1308.49,1328.43,1307.88,,08/28/20
1333.18,1324.34,1333.18,1321.88,,08/27/20
1335.36,1333.14,1335.36,1325.67,,08/26/20
1351.29,1335.21,1355.22,1334.88,,08/25/20
1353.44,1351.29,1357.08,1347.1,,08/24/20
1359.74,1353.57,1362.25,1352.89,,08/21/20
1360.33,1359.67,1361.73,1355.05,,08/20/20
1364.99,1360.87,1368.47,1359.46,,08/19/20
1370.15,1364.98,1370.15,1358.74,,08/18/20
1376.72,1370.15,1376.72,1365.37,,08/17/20
1376.78,1376.83,1376.85,1362.74,,08/14/20
1381.36,1377.08,1384.2,1369.78,,08/13/20
1373.23,1381.56,1381.83,1363.43,,08/12/20
1357.72,1373.14,1376.19,1357.4,,08/11/20
1340.04,1357.96,1358.79,1336.42,,08/10/20
1330.88,1339.95,1347.03,1326.74,,08/07/20
1323.92,1330.86,1330.86,1320.78,,08/06/20
1309.23,1323.88,1325.22,1309.23,,08/05/20
1308.81,1309.13,1318.67,1307.88,,08/04/20
1310.66,1308.7,1315.79,1300.72,,08/03/20
1302.26,1310.56,1319.94,1299.06,,07/31/20
1310.5,1302.23,1312.07,1298.19,,07/30/20
1305.11,1310.42,1310.44,1296.69,,07/29/20
1314.09,1304.8,1314.09,1303.74,,07/28/20
1322.89,1314,1329.2,1312.2,,07/27/20
1333.6,1322.77,1333.6,1314.5,,07/24/20
1331.41,1333.55,1336.04,1326.25,,07/23/20
1328.89,1331.35,1335.76,1319.12,,07/22/20
1325.47,1328.88,1332.52,1317.74,,07/21/20
1323.39,1325.39,1327.65,1318.66,,07/20/20
1321.78,1323.32,1326.15,1316.15,,07/17/20
1320.99,1321.69,1323.59,1314.18,,07/16/20
1310.82,1321,1325.51,1310.82,,07/15/20
1317.98,1310.77,1317.98,1304.7,,07/14/20
1320.53,1317.87,1326.36,1314.02,,07/13/20
1323.39,1320.52,1323.39,1307.36,,07/10/20
1317.74,1323.29,1327.03,1314.26,,07/09/20
1315.97,1317.76,1318.94,1310.49,,07/08/20
1335.1,1315.8,1335.48,1310.91,,07/07/20
1316.24,1335.02,1336.98,1316.24,,07/06/20
1326.68,1316.23,1331.81,1314.71,,07/03/20
1303.63,1326.62,1329.53,1303.5,,07/02/20
1310.96,1303.6,1313.49,1293.72,,07/01/20
1319.89,1310.81,1320.81,1306.21,,06/30/20
1319.33,1319.85,1323.95,1307.72,,06/29/20
1338.47,1319.36,1341.52,1317.54,,06/26/20
1347.09,1338.42,1347.09,1329.92,,06/25/20
1361.46,1347.05,1367.44,1346.64,,06/24/20
1360.49,1361.5,1369.97,1356.65,,06/23/20
1359.21,1359.55,1368.77,1346.26,,06/22/20
1366.52,1359.21,1375.67,1359.21,,06/19/20
1380.5,1366.5,1380.5,1365.1,,06/18/20
1379.76,1380.47,1389.87,1375.97,,06/17/20
1358,1379.71,1392.23,1352.28,,06/16/20
1357.52,1357.94,1360.6,1346.49,,06/15/20
1347.81,1357.51,1363.1,1333.99,,06/12/20
1370.45,1347.74,1370.45,1346.03,,06/11/20
1369.68,1370.45,1374.83,1362.2,,06/10/20
1376.78,1369.58,1379.45,1358.59,,06/09/20
1377.53,1376.82,1381.65,1371.45,,06/08/20
1369.71,1377.27,1380.66,1361.96,,06/05/20
1353.06,1369.65,1369.65,1342.52,,06/04/20
1322.51,1353,1353.45,1322.32,,06/03/20
